Date,Play Daily Churn,MC Spent Active,FC Spent Churn,FC Spent Active,FC Spent New,Play Daily Active,Register,Play Accumulated Churn,Play Accumulated Active,MC Spent New,Play Accumulated New,MC Spent Churn,Play Daily New,Login
2026-06-03,2107,808830,603150,13814060,580690,45061,247736,2098,44901,4300,225,27670,227,246950
2026-06-04,1927,775100,579970,13791720,1115800,25682,94630,3805,64500,12460,516,49810,340,287596
2026-06-05,1632,268930,693380,11440450,1053050,16110,47021,5148,74244,6270,726,24110,281,285129
2026-06-06,1650,193460,540020,10282940,911300,14752,35707,6434,82434,3390,979,20930,333,285920
2026-06-07,1729,169160,733790,9160910,785770,13303,30366,7751,89420,8030,1210,26260,337,287254
2026-06-08,1768,133450,581670,8553060,815050,11469,22186,8995,94969,17380,1430,19300,330,283552
2026-06-09,1559,892190,503980,6195210,458000,14743,12511,10017,100059,14050,1631,34150,335,192861
Total,12372,3241120,4235960,73238350,5719660,141120,490157,44248,550527,65880,6717,202230,2183,1869262
